asset_id,section_id,asset_type,install_date,codal_life_years,last_renewal_date,tonnage_carried_since_last_renewal
TRA_SEC_01_1,SEC_01,Track,1999-09-09,25,2005-09-19,702.81
TRA_SEC_01_2,SEC_01,Track,2017-01-18,25,2019-02-01,194.27
TRA_SEC_01_3,SEC_01,Track,2016-07-24,25,2020-01-25,142.81
OHE_SEC_01_1,SEC_01,OHE,2000-10-25,35,2017-08-19,263.11
OHE_SEC_01_2,SEC_01,OHE,2012-10-07,35,2017-12-02,245.57
SIG_SEC_01_1,SEC_01,Signal,2015-04-22,18,2015-07-22,356.5
SIG_SEC_01_2,SEC_01,Signal,2000-03-18,18,2009-06-15,593.35
SIG_SEC_01_3,SEC_01,Signal,2000-07-25,18,2022-02-10,70.98
SIG_SEC_01_4,SEC_01,Signal,2018-02-05,18,2021-09-29,88.32
TRA_SEC_02_1,SEC_02,Track,2013-07-29,25,2015-04-11,211.92
TRA_SEC_02_2,SEC_02,Track,2013-05-20,25,2018-01-04,139.03
TRA_SEC_02_3,SEC_02,Track,2002-12-16,25,2021-12-20,55.73
OHE_SEC_02_1,SEC_02,OHE,2003-07-23,35,2019-07-16,100.55
OHE_SEC_02_2,SEC_02,OHE,2002-09-10,35,2008-10-16,397.64
SIG_SEC_02_1,SEC_02,Signal,2003-07-30,18,2022-05-04,40.39
SIG_SEC_02_2,SEC_02,Signal,2016-09-07,18,2017-08-14,163.54
SIG_SEC_02_3,SEC_02,Signal,2012-05-20,18,2022-10-18,29.03
SIG_SEC_02_4,SEC_02,Signal,2012-07-01,18,2015-06-23,219.07
TRA_SEC_03_1,SEC_03,Track,2001-04-04,25,2013-02-10,402.41
TRA_SEC_03_2,SEC_03,Track,2004-09-26,25,2009-03-24,598.29
TRA_SEC_03_3,SEC_03,Track,2003-08-01,25,2013-08-31,415.32
OHE_SEC_03_1,SEC_03,OHE,2010-06-14,35,2023-03-04,30.66
OHE_SEC_03_2,SEC_03,OHE,2018-05-17,35,2020-03-28,144.97
SIG_SEC_03_1,SEC_03,Signal,2008-10-30,18,2010-03-09,524.9
SIG_SEC_03_2,SEC_03,Signal,2010-10-17,18,2013-11-25,382.14
SIG_SEC_03_3,SEC_03,Signal,2017-06-18,18,2021-10-02,83.9
SIG_SEC_03_4,SEC_03,Signal,2000-05-29,18,2010-10-25,541.57
TRA_SEC_04_1,SEC_04,Track,2001-07-28,25,2005-11-17,679.51
TRA_SEC_04_2,SEC_04,Track,2001-02-24,25,2011-08-21,525.03
TRA_SEC_04_3,SEC_04,Track,2001-01-29,25,2016-07-04,276.46
OHE_SEC_04_1,SEC_04,OHE,2014-06-11,35,2019-08-20,185.88
OHE_SEC_04_2,SEC_04,OHE,2001-10-15,35,2023-05-09,26.09
SIG_SEC_04_1,SEC_04,Signal,2010-08-27,18,2020-08-25,123.95
SIG_SEC_04_2,SEC_04,Signal,2012-04-01,18,2012-11-22,428.68
SIG_SEC_04_3,SEC_04,Signal,2008-08-16,18,2013-01-16,426.36
SIG_SEC_04_4,SEC_04,Signal,1999-07-26,18,2008-05-23,593.42
TRA_SEC_05_1,SEC_05,Track,2009-01-21,25,2019-02-26,115.94
TRA_SEC_05_2,SEC_05,Track,2018-04-07,25,2020-04-23,92.37
TRA_SEC_05_3,SEC_05,Track,2017-12-21,25,2021-12-17,55.19
OHE_SEC_05_1,SEC_05,OHE,2014-03-18,35,2022-02-26,46.06
OHE_SEC_05_2,SEC_05,OHE,1999-04-16,35,2017-08-22,164.5
SIG_SEC_05_1,SEC_05,Signal,2003-10-09,18,2019-10-09,110.6
SIG_SEC_05_2,SEC_05,Signal,2011-08-25,18,2016-01-03,205.25
SIG_SEC_05_3,SEC_05,Signal,2008-04-14,18,2022-02-16,49.99
SIG_SEC_05_4,SEC_05,Signal,2012-08-02,18,2021-06-19,57.58
TRA_SEC_06_1,SEC_06,Track,2007-03-09,25,2012-06-12,417.56
TRA_SEC_06_2,SEC_06,Track,2008-10-04,25,2020-02-29,158.02
TRA_SEC_06_3,SEC_06,Track,2015-07-08,25,2017-12-25,235.3
OHE_SEC_06_1,SEC_06,OHE,2000-04-07,35,2020-04-22,143.11
OHE_SEC_06_2,SEC_06,OHE,2016-09-24,35,2017-03-30,290.79
SIG_SEC_06_1,SEC_06,Signal,2013-11-04,18,2017-02-16,292.43
SIG_SEC_06_2,SEC_06,Signal,2007-11-25,18,2015-03-28,332.49
SIG_SEC_06_3,SEC_06,Signal,2017-02-20,18,2017-10-17,268.21
SIG_SEC_06_4,SEC_06,Signal,2006-05-04,18,2018-03-07,225.89
TRA_SEC_07_1,SEC_07,Track,2004-06-25,25,2006-06-10,227.06
TRA_SEC_07_2,SEC_07,Track,2003-05-28,25,2010-08-07,147.46
TRA_SEC_07_3,SEC_07,Track,2015-10-09,25,2016-07-21,91.28
OHE_SEC_07_1,SEC_07,OHE,2018-10-26,35,2023-01-10,12.09
OHE_SEC_07_2,SEC_07,OHE,2018-11-25,35,2022-10-06,15.02
SIG_SEC_07_1,SEC_07,Signal,2005-03-01,18,2013-04-07,121.73
SIG_SEC_07_2,SEC_07,Signal,2004-10-04,18,2019-10-11,48.93
SIG_SEC_07_3,SEC_07,Signal,2004-01-27,18,2013-04-21,137.36
SIG_SEC_07_4,SEC_07,Signal,2005-11-06,18,2014-07-31,103.88
TRA_SEC_08_1,SEC_08,Track,2011-08-25,25,2020-05-11,138.29
TRA_SEC_08_2,SEC_08,Track,1999-07-17,25,2014-11-08,394.62
TRA_SEC_08_3,SEC_08,Track,2006-05-19,25,2009-11-22,564.67
OHE_SEC_08_1,SEC_08,OHE,2007-06-19,35,2015-08-09,315.48
OHE_SEC_08_2,SEC_08,OHE,2004-07-21,35,2018-03-08,210.67
SIG_SEC_08_1,SEC_08,Signal,2006-02-03,18,2020-09-20,142.79
